Funded,URL,Title,Year,Month,Type,Has FB,Backed Projects,Previous Projects,Creator Desc Len,Title Len,Goal,Duration,Pledge Levels,Min Pledge Tiers,Max Pledge Tiers,Proj Desc Len,Images,Videos,Has Video
yes,https://www.kickstarter.com/projects/878732893/fairy-tales-end-webseries,Fairy Tale's End Webseries,2016,Mar,Video,0,0,0,343,30,1500.0,30,7,5.0,250.0,2114,0,1,1
no,https://www.kickstarter.com/projects/garofaloenterprises/patternslibrary,PatternsLibrary,2016,Feb,Software,0,0,0,241,15,10000.0,60,7,10.0,10000.0,2609,1,0,0
no,https://www.kickstarter.com/projects/892489289/litestem,LiteStem,2016,Apr,Gadgets,0,0,0,479,8,1000.0,30,2,5.0,25.0,1180,0,0,0
yes,https://www.kickstarter.com/projects/1245546462/kitrex-triceratops-a-fold-and-play-cardboard-dino,KitRex Triceratops: A Fold-and-Play Cardboard Dino,2016,Mar,Design,1,12,3,476,50,12000.0,30,8,2.0,190.0,2343,13,1,1
yes,https://www.kickstarter.com/projects/577993044/nobowl-feeding-system-a-brilliant-solution-for-cat,NoBowl Feeding System: A Brilliant Solution for Cat Wellness,2016,Mar,Design,1,11,0,500,60,36000.0,30,21,5.0,2000.0,9391,17,2,1
yes,https://www.kickstarter.com/projects/1364502154/eigg-our-island,Eigg - Our Island,2016,Mar,Video,0,2,0,512,17,1079.32,16,5,7.0,106.0,3208,0,0,0
yes,https://www.kickstarter.com/projects/agreyartistry/magnificent-marvelous-and-macabre-coloring-book,Magnificent Marvelous and Macabre Coloring Book,2016,Mar,Art,1,2,0,329,47,4000.0,29,7,2.0,200.0,5287,20,2,1
no,https://www.kickstarter.com/projects/81267267/tokyo-no-densetsu-no-eiyulegend,TOKYO NO DENSETSU NO EIYU(Legend),2016,Mar,Video,0,0,2,131,33,11493.75,30,1,151.0,151.0,1098,0,0,0
yes,https://www.kickstarter.com/projects/1904835581/onesummernight,One Summer Night,2016,Mar,Video,0,24,0,500,16,9000.0,30,21,1.0,9000.0,15415,36,1,1
no,https://www.kickstarter.com/projects/1518096157/blacksmithing-on-a-budget,Blacksmithing on a budget (Canceled),2016,Mar,Art,0,0,0,212,36,1000.0,60,1,20.0,20.0,1119,0,0,0
yes,https://www.kickstarter.com/projects/ibrush365/ibrush-365-tm-for-smart-people,iBrush 365 \xe2\x84\xa2 For Smart People,2016,Mar,Gadgets,0,2,0,550,40,20000.0,30,7,1.0,10000.0,2284,14,1,1
